,0,1,2,3,4,5
0,SAT Composite Score,2020 Percentile,2019 Percentile,2018 Percentile,2017 Percentile,2016 Percentile
1,1600,99+,99+,99+,99+,99+
2,1590,99+,99+,99+,99+,99+
3,1580,99+,99+,99+,99+,99+
4,1570,99+,99+,99+,99+,99+
5,1560,99+,99+,99+,99+,99+
6,1550,99,99+,99+,99+,99+
7,1540,99,99,99,99+,99
8,1530,99,99,99,99+,99
9,1520,99,99,99,99,99
10,1510,98,99,99,99,99
11,1500,98,98,99,99,98
12,1490,98,98,98,99,98
13,1480,97,98,98,99,98
14,1470,97,97,98,98,98
15,1460,97,97,97,98,97
16,1450,96,96,97,98,97
17,1440,96,96,96,97,96
18,1430,95,96,96,97,96
19,1420,95,95,95,96,95
20,1410,94,95,95,96,95
21,1400,94,94,94,95,94
22,1390,93,93,94,95,94
23,1380,92,93,93,94,93
24,1370,92,92,92,94,92
25,1360,91,91,92,93,91
26,1350,90,91,91,92,91
27,1340,89,90,90,91,90
28,1330,89,89,89,90,89
29,1320,88,88,88,90,88
30,1310,87,87,88,89,87
31,1300,86,86,87,88,86
32,1290,85,85,86,87,85
33,1280,84,84,84,86,83
34,1270,83,83,83,85,82
35,1260,82,82,82,83,81
36,1250,81,81,81,82,80
37,1240,80,80,80,81,78
38,1230,78,78,79,80,77
39,1220,77,77,77,78,76
40,1210,76,76,76,77,74
41,1200,74,74,74,76,72
42,1190,73,73,73,74,71
43,1180,72,72,72,73,69
44,1170,70,70,70,71,67
45,1160,69,68,68,69,65
46,1150,67,67,67,68,64
47,1140,66,65,65,66,62
48,1130,64,64,63,64,60
49,1120,62,62,62,63,58
50,1110,61,60,60,61,57
51,1100,59,58,58,59,55
52,1090,57,57,56,57,52
53,1080,55,55,54,55,50
54,1070,54,53,52,53,48
55,1060,52,51,51,51,46
56,1050,50,49,49,49,44
57,1040,48,47,47,47,42
58,1030,46,46,45,45,40
59,1020,45,44,43,43,38
60,1010,43,42,41,41,36
61,1000,41,40,39,40,34
62,990,39,38,37,38,32
63,980,38,36,36,36,30
64,970,36,35,34,34,29
65,960,34,33,32,32,27
66,950,33,31,31,31,25
67,940,31,30,29,29,24
68,930,29,28,27,27,22
69,920,28,27,26,26,20
70,910,26,25,24,24,19
71,900,25,23,23,22,18
72,890,23,22,21,21,16
73,880,22,20,20,19,15
74,870,20,19,18,18,14
75,860,19,18,17,17,13
76,850,18,16,15,15,12
77,840,16,15,14,14,11
78,830,15,14,13,13,10
79,820,14,13,12,12,9
80,810,12,11,11,11,8
81,800,11,10,10,9,7
82,790,10,9,9,8,7
83,780,9,8,8,8,6
84,770,8,7,7,7,5
85,760,7,6,6,6,4
86,750,6,5,5,5,4
87,740,5,5,4,4,3
88,730,5,4,4,4,3
89,720,4,3,3,3,2
90,710,3,3,3,3,2
91,700,3,2,2,2,2
92,690,2,2,2,2,2
93,680,2,1,1,1,1
94,670,1,1,1,1,1
95,660,1,1,1,1,1
96,650,1,1,1,1,1
97,640,1,1,1,1,1-
98,630,1,1-,1-,1-,1-
99,620,1-,1-,1-,1-,1-
100,610,1-,1-,1-,1-,1-
101,600 and below,1-,1-,1-,1-,1-
